"longitude","latitude","oco2_frk_xco2","oco2_frk_sd","date"
8.5,49.5,398.51357327818,0.693406318335184,2014-12-01
8.5,49.5,398.99808859505,0.68124132565138,2014-12-02
8.5,49.5,399.575494086802,0.680403701390265,2014-12-03
8.5,49.5,399.895642526847,0.672582191845244,2014-12-04
8.5,49.5,400.061482164987,0.706654631118908,2014-12-05
8.5,49.5,399.858833518884,0.746274338767653,2014-12-06
8.5,49.5,399.420218900334,0.799413945799258,2014-12-07
8.5,49.5,398.771016998311,0.814833403613717,2014-12-08
8.5,49.5,398.54069176016,0.799859299097735,2014-12-09
8.5,49.5,397.983404924488,0.806702725026496,2014-12-10
8.5,49.5,397.209759472166,0.802859490692467,2014-12-11
8.5,49.5,396.974503825439,0.784076770627667,2014-12-12
8.5,49.5,396.874386025551,0.863880270141004,2014-12-13
8.5,49.5,397.646692503794,0.924693862235232,2014-12-14
8.5,49.5,399.028535747212,0.936904437378683,2014-12-15
8.5,49.5,399.654271080083,1.09894637856486,2014-12-23
8.5,49.5,400.25415066325,1.08044705157948,2014-12-24
8.5,49.5,401.169200198525,1.08740461005657,2014-12-25
8.5,49.5,401.909514693524,1.07739132440942,2014-12-26
8.5,49.5,402.353932681577,1.02801957315658,2014-12-27
8.5,49.5,402.372713983174,0.971493925181478,2014-12-28
8.5,49.5,402.118483310473,0.944937161195874,2014-12-29
8.5,49.5,401.948499746715,0.960991480070515,2014-12-30
8.5,49.5,401.610086792668,0.97548078624363,2014-12-31
8.5,49.5,401.159973499476,0.988017741162167,2015-01-01
8.5,49.5,400.861836701897,0.953688929152547,2015-01-02
8.5,49.5,400.672799642934,0.866651535678117,2015-01-03
8.5,49.5,400.595235308381,0.777349269570661,2015-01-04
8.5,49.5,399.667380822092,0.91296307328367,2015-01-05
8.5,49.5,398.821341102964,0.955915409016932,2015-01-06
8.5,49.5,397.420948012645,1.07677369857763,2015-01-07
8.5,49.5,398.014983586005,1.03339299364982,2015-01-08
8.5,49.5,398.396394322193,0.925042975304193,2015-01-09
8.5,49.5,399.391346939085,0.833861143531642,2015-01-10
8.5,49.5,399.936295799518,0.758578673437846,2015-01-11
8.5,49.5,399.543798543195,0.782412478799335,2015-01-12
8.5,49.5,398.734277746922,0.817312778268278,2015-01-13
8.5,49.5,398.299543968697,0.806599746934005,2015-01-14
8.5,49.5,398.74416548883,0.791877479002389,2015-01-15
8.5,49.5,399.900322871719,0.977673339062421,2015-01-16
8.5,49.5,401.010313550143,1.35691139184328,2015-01-17
8.5,49.5,400.548976583869,1.60703416143198,2015-01-18
8.5,49.5,400.420651169912,1.79461028559503,2015-01-19
8.5,49.5,400.518269263063,1.79739566359069,2015-01-20
8.5,49.5,400.080178862922,1.67663978124445,2015-01-21
8.5,49.5,400.185223694132,1.39295473362665,2015-01-22
8.5,49.5,400.245428041309,0.98642892928158,2015-01-23
8.5,49.5,400.307104621765,0.798216440342905,2015-01-24
8.5,49.5,400.435557364808,0.757946323447432,2015-01-25
8.5,49.5,400.611064900007,0.759364723238182,2015-01-26
8.5,49.5,400.925334353342,0.774825485660256,2015-01-27
8.5,49.5,401.322752548974,0.765089165962761,2015-01-28
8.5,49.5,401.684844464778,0.758031294626414,2015-01-29
8.5,49.5,401.78619581305,0.671692234796397,2015-01-30
8.5,49.5,401.737037529221,0.572221903370321,2015-01-31
8.5,49.5,401.502865400299,0.437732244820324,2015-02-01
8.5,49.5,401.403203957163,0.346771955537921,2015-02-02
8.5,49.5,401.489096632202,0.307003640122336,2015-02-03
8.5,49.5,401.596588359347,0.301589781977894,2015-02-04
8.5,49.5,401.427838416226,0.295386197720976,2015-02-05
8.5,49.5,401.590137180715,0.295250056189225,2015-02-06
8.5,49.5,401.248806749049,0.295091699876439,2015-02-07
8.5,49.5,400.893563459112,0.276583519306536,2015-02-08
8.5,49.5,400.219428272893,0.289310990192009,2015-02-09
8.5,49.5,399.783696566584,0.310703183421838,2015-02-10
8.5,49.5,399.117663523671,0.329151803743634,2015-02-11
8.5,49.5,399.438463121979,0.323204637359023,2015-02-12
8.5,49.5,400.249984322341,0.336673813504462,2015-02-13
8.5,49.5,401.235831636382,0.348396453053832,2015-02-14
8.5,49.5,401.940486141082,0.374383981248044,2015-02-15
8.5,49.5,402.333470433878,0.397664920153791,2015-02-16
8.5,49.5,402.465097748852,0.511442768903709,2015-02-17
8.5,49.5,402.858470190944,0.577324394398691,2015-02-18
8.5,49.5,403.330162284044,0.634651019858538,2015-02-19
8.5,49.5,403.711649793638,0.771894887373537,2015-02-20
8.5,49.5,402.690454160108,0.919113442358178,2015-02-21
8.5,49.5,401.935148744092,1.06417472271575,2015-02-22
8.5,49.5,401.348808260156,0.972297676299203,2015-02-23
8.5,49.5,400.799576419079,0.619302121934285,2015-02-24
8.5,49.5,400.820161239273,0.679376166636143,2015-02-25
8.5,49.5,401.462101902895,0.615522560584992,2015-02-26
8.5,49.5,402.059329445332,0.638760538520943,2015-02-27
8.5,49.5,402.055321189636,0.616692048768323,2015-02-28
8.5,49.5,401.698273397569,0.509543339679653,2015-03-01
8.5,49.5,401.278635593007,0.436484634342728,2015-03-02
8.5,49.5,401.267959459336,0.414228643969979,2015-03-03
8.5,49.5,401.530096044019,0.398669194293378,2015-03-04
8.5,49.5,401.928795729144,0.356650202078628,2015-03-05
8.5,49.5,401.977086127912,0.343180270133046,2015-03-06
8.5,49.5,401.807693164089,0.336046626659941,2015-03-07
8.5,49.5,401.772443955723,0.315641558264102,2015-03-08
8.5,49.5,401.885223022802,0.309693506277183,2015-03-09
