"longitude","latitude","oco2_frk_xco2","oco2_frk_sd","date"
-14.5,-7.5,397.245927985816,0.229310649993624,2014-12-01
-14.5,-7.5,397.099775733173,0.1945501310381,2014-12-02
-14.5,-7.5,396.780291955995,0.19312085914061,2014-12-03
-14.5,-7.5,396.558026788181,0.185211004908072,2014-12-04
-14.5,-7.5,396.648303101268,0.193497296076318,2014-12-05
-14.5,-7.5,396.949075204511,0.21132973405433,2014-12-06
-14.5,-7.5,397.273823748753,0.214056936663091,2014-12-07
-14.5,-7.5,397.160067055546,0.236209623806578,2014-12-08
-14.5,-7.5,396.973764491588,0.260317921643449,2014-12-09
-14.5,-7.5,396.790407023298,0.312307903441349,2014-12-10
-14.5,-7.5,396.812837712729,0.421143899665313,2014-12-11
-14.5,-7.5,397.210021852364,0.645029254157976,2014-12-12
-14.5,-7.5,397.598325372655,0.937889617562918,2014-12-13
-14.5,-7.5,397.856078734993,1.25253990671872,2014-12-14
-14.5,-7.5,397.955355151414,1.4048251361059,2014-12-15
-14.5,-7.5,398.372609112223,1.55985078703236,2014-12-16
-14.5,-7.5,398.50188898316,1.66696445626294,2014-12-17
-14.5,-7.5,398.393010343623,1.73096801493069,2014-12-18
-14.5,-7.5,398.483481030387,1.82394458027885,2014-12-19
-14.5,-7.5,398.481969823505,1.78701359310483,2014-12-20
-14.5,-7.5,398.540984097033,2.0794242036333,2014-12-21
-14.5,-7.5,398.458387968772,2.05623840421861,2014-12-22
-14.5,-7.5,398.152060567258,1.90470049799547,2014-12-23
-14.5,-7.5,397.342940607273,1.72309787715327,2014-12-24
-14.5,-7.5,396.536983151967,1.46669829839895,2014-12-25
-14.5,-7.5,396.176624981854,1.12523229161505,2014-12-26
-14.5,-7.5,396.142931204424,0.806647394320351,2014-12-27
-14.5,-7.5,396.290722018954,0.582726267521828,2014-12-28
-14.5,-7.5,396.532934137493,0.502597376376994,2014-12-29
-14.5,-7.5,396.778598831826,0.474171745967288,2014-12-30
-14.5,-7.5,396.836807352678,0.455902999392261,2014-12-31
-14.5,-7.5,396.849348633622,0.440098759181508,2015-01-01
-14.5,-7.5,397.057051139922,0.433424590387654,2015-01-02
-14.5,-7.5,397.422944537365,0.403078921516731,2015-01-03
-14.5,-7.5,397.685794746995,0.42379394476096,2015-01-04
-14.5,-7.5,397.764740935736,0.669825679649976,2015-01-05
-14.5,-7.5,397.448028399809,0.77295284392383,2015-01-06
-14.5,-7.5,397.067499193178,0.87524895323642,2015-01-07
-14.5,-7.5,396.980216107752,0.709779620898138,2015-01-08
-14.5,-7.5,397.20380238892,0.485063834130472,2015-01-09
-14.5,-7.5,397.392447430829,0.316361700523385,2015-01-10
-14.5,-7.5,397.233504775788,0.310974296673693,2015-01-11
-14.5,-7.5,396.853239010398,0.418469399588175,2015-01-12
-14.5,-7.5,396.795081586456,0.722993595294157,2015-01-13
-14.5,-7.5,396.606458853309,1.07691479998535,2015-01-14
-14.5,-7.5,397.040501541625,1.35290300755384,2015-01-15
-14.5,-7.5,397.710632081482,1.55853819943309,2015-01-16
-14.5,-7.5,398.131319537536,1.74443572506562,2015-01-17
-14.5,-7.5,397.782952319604,1.77214259616593,2015-01-18
-14.5,-7.5,397.667582388358,1.85156340572776,2015-01-19
-14.5,-7.5,397.704412499724,1.83582885833398,2015-01-20
-14.5,-7.5,397.899862315066,1.7940724483614,2015-01-21
-14.5,-7.5,398.183942072192,1.65260645062886,2015-01-22
-14.5,-7.5,398.752565079012,1.46313743556379,2015-01-23
-14.5,-7.5,399.437202082083,1.37900341498672,2015-01-24
-14.5,-7.5,399.996358715298,1.30558553628975,2015-01-25
-14.5,-7.5,400.426616518473,1.14573502939093,2015-01-26
-14.5,-7.5,400.151937185154,0.861761273687188,2015-01-27
-14.5,-7.5,399.565389894132,0.481812962655403,2015-01-28
-14.5,-7.5,398.606120495886,0.226025140633279,2015-01-29
-14.5,-7.5,397.810089223106,0.174642209412062,2015-01-30
-14.5,-7.5,397.392207191493,0.142133631204432,2015-01-31
-14.5,-7.5,397.434912676261,0.146345624793657,2015-02-01
-14.5,-7.5,397.923296493005,0.157630108267633,2015-02-02
-14.5,-7.5,398.260528271966,0.171876566424558,2015-02-03
-14.5,-7.5,398.488381939373,0.176403970060254,2015-02-04
-14.5,-7.5,398.566617858217,0.18368584167663,2015-02-05
-14.5,-7.5,398.387674977086,0.234620339159436,2015-02-06
-14.5,-7.5,398.421217860065,0.266993393966887,2015-02-07
-14.5,-7.5,398.127087137061,0.25453632392651,2015-02-08
-14.5,-7.5,397.894942002162,0.154749228311323,2015-02-09
