"longitude","latitude","oco2_frk_xco2","oco2_frk_sd","date"
55.5,-20.5,396.463687165823,0.205261969524056,2014-12-01
55.5,-20.5,396.467360255227,0.173337020024139,2014-12-02
55.5,-20.5,396.608138925674,0.168846194410376,2014-12-03
55.5,-20.5,396.806290066717,0.160105326253846,2014-12-04
55.5,-20.5,397.011595050683,0.182209992259588,2014-12-05
55.5,-20.5,397.137334320036,0.207845298606476,2014-12-06
55.5,-20.5,397.113860763448,0.230089062337588,2014-12-07
55.5,-20.5,397.041034270555,0.226680517033303,2014-12-08
55.5,-20.5,396.984199959089,0.251599569969684,2014-12-09
55.5,-20.5,396.856463751575,0.279916182700015,2014-12-10
55.5,-20.5,396.750504652195,0.406278730780269,2014-12-11
55.5,-20.5,396.985468058212,0.644450647944725,2014-12-12
55.5,-20.5,396.707862887534,0.940963716777837,2014-12-13
55.5,-20.5,397.002536974153,1.1924367844836,2014-12-14
55.5,-20.5,397.22136089745,1.32270329493258,2014-12-15
55.5,-20.5,397.353414840589,1.37543980484725,2014-12-16
55.5,-20.5,397.27855869855,1.37267793314542,2014-12-17
55.5,-20.5,396.698972536649,1.32752035748011,2014-12-18
55.5,-20.5,396.218596545944,1.35540484824649,2014-12-19
55.5,-20.5,395.96676271315,1.33731372080934,2014-12-20
55.5,-20.5,395.825012913824,1.56339338238438,2014-12-21
55.5,-20.5,396.368294149213,1.69028108773662,2014-12-22
55.5,-20.5,397.239101649839,1.64875912545014,2014-12-23
55.5,-20.5,397.867607232122,1.50275161261956,2014-12-24
55.5,-20.5,397.443807142764,1.21359889240616,2014-12-25
55.5,-20.5,397.2951828307,0.905502364324775,2014-12-26
55.5,-20.5,396.660061546089,0.636957286595655,2014-12-27
55.5,-20.5,396.502645523702,0.50336848220493,2014-12-28
55.5,-20.5,396.414711848902,0.484210990754667,2014-12-29
55.5,-20.5,396.358254381663,0.474040332222001,2014-12-30
55.5,-20.5,396.291446354435,0.453461137265149,2014-12-31
55.5,-20.5,396.465301181346,0.450438252380638,2015-01-01
55.5,-20.5,396.815143032292,0.445317295172082,2015-01-02
55.5,-20.5,397.036625761733,0.418799545699968,2015-01-03
55.5,-20.5,396.866293736068,0.376300368194481,2015-01-04
55.5,-20.5,396.40647270162,0.610623652572423,2015-01-05
55.5,-20.5,396.557149191711,0.759499966331304,2015-01-06
55.5,-20.5,396.298463294681,0.991186586166957,2015-01-07
