"longitude","latitude","oco2_frk_xco2","oco2_frk_sd","date"
-118.5,34.5,398.244131158582,0.592716667967288,2014-12-01
-118.5,34.5,398.383029479815,0.679933936682813,2014-12-02
-118.5,34.5,398.159320942616,0.678794650055378,2014-12-03
-118.5,34.5,398.398892490724,0.604443134066179,2014-12-04
-118.5,34.5,398.720725754775,0.538238556383692,2014-12-05
-118.5,34.5,399.107768354448,0.461390218398769,2014-12-06
-118.5,34.5,399.44722849015,0.435492678979521,2014-12-07
-118.5,34.5,399.564034932694,0.472664023063482,2014-12-08
-118.5,34.5,399.332805498461,0.533756110514919,2014-12-09
-118.5,34.5,398.897031743002,0.590498327770973,2014-12-10
-118.5,34.5,398.336084782876,0.607566960141632,2014-12-11
-118.5,34.5,397.832617750502,0.634640216847331,2014-12-12
-118.5,34.5,397.508230272009,0.702877765942235,2014-12-13
-118.5,34.5,397.715410947592,0.839099669143296,2014-12-14
-118.5,34.5,397.600072116541,0.964112802565888,2014-12-15
-118.5,34.5,397.563294794822,0.938344865950412,2014-12-16
-118.5,34.5,397.957975480115,0.856663027237729,2014-12-17
-118.5,34.5,397.991091647571,0.840288602590834,2014-12-18
-118.5,34.5,398.098822501689,0.962723603338902,2014-12-19
-118.5,34.5,398.179505473769,1.11036137110257,2014-12-20
-118.5,34.5,398.345310362793,1.07141516588132,2014-12-21
-118.5,34.5,398.378704300255,0.987902368845355,2014-12-22
-118.5,34.5,398.307367242052,0.879521032973272,2014-12-23
-118.5,34.5,398.055285728117,0.756074907235688,2014-12-24
-118.5,34.5,397.984860387601,0.50189507823191,2014-12-25
-118.5,34.5,398.125878111272,0.617130239291822,2014-12-26
-118.5,34.5,398.594660966628,0.607235757885224,2014-12-27
-118.5,34.5,399.422841395454,0.583924863483168,2014-12-28
-118.5,34.5,400.290140444036,0.566947489647193,2014-12-29
-118.5,34.5,401.002538034349,0.601725152810421,2014-12-30
-118.5,34.5,401.129220228417,0.66380997897047,2014-12-31
-118.5,34.5,401.015517466259,0.683977381259897,2015-01-01
-118.5,34.5,400.837898355683,0.596419920589669,2015-01-02
-118.5,34.5,400.926793622546,0.485118702894624,2015-01-03
-118.5,34.5,401.01693675559,0.625205194517381,2015-01-04
-118.5,34.5,401.196695185697,0.840116434858685,2015-01-05
-118.5,34.5,400.649803355491,1.01046930429988,2015-01-06
-118.5,34.5,399.804462130521,0.986219359200181,2015-01-07
