"tccon_xco2","tccon_error","tccon_datetime","tccon_solar_time","tccon_latitude","tccon_longitude","date","latitude","longitude"
387.799987792969,0.200000002980232,2009-05-17 09:46:22,11.5419999440511,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
388.100006103516,0.200000002980232,2009-05-17 09:47:42,11.5586666107178,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
387.899993896484,0.200000002980232,2009-05-17 09:49:01,11.5919999440511,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
387.700012207031,0.200000002980232,2009-05-17 09:50:20,11.6086666107178,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
388,0.200000002980232,2009-05-17 09:51:39,11.6253332773844,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
387.899993896484,0.200000002980232,2009-05-17 09:52:58,11.6419999440511,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
388,0.200000002980232,2009-05-17 09:54:17,11.6753332773844,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
388.200012207031,0.200000002980232,2009-05-17 09:55:37,11.6919999440511,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
387.899993896484,0.200000002980232,2009-05-17 09:56:56,11.7086666107178,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
388.100006103516,0.200000002980232,2009-05-17 09:58:19,11.7419999440511,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
387.899993896484,0.200000002980232,2009-05-17 09:59:38,11.7586666107178,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
387.899993896484,0.200000002980232,2009-05-17 10:00:57,11.7753332773844,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
387.600006103516,0.200000002980232,2009-05-17 10:02:16,11.8086666107178,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
387.700012207031,0.200000002980232,2009-05-17 10:03:36,11.8253332773844,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
388.100006103516,0.200000002980232,2009-05-17 10:04:55,11.8419999440511,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
387.799987792969,0.200000002980232,2009-05-17 10:06:14,11.8753332773844,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
388,0.200000002980232,2009-05-17 10:07:33,11.8919999440511,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
388.200012207031,0.200000002980232,2009-05-17 10:08:52,11.9086666107178,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
387.899993896484,0.200000002980232,2009-05-17 10:10:12,11.9419999440511,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
387.5,0.200000002980232,2009-05-17 10:11:31,11.9586666107178,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
388.100006103516,0.200000002980232,2009-05-17 10:12:50,11.9753332773844,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
387.799987792969,0.200000002980232,2009-05-17 10:14:09,12.0086666107178,67.370002746582,26.6299991607666,2009-05-17,67.5,26.5
