"tccon_xco2","tccon_error","tccon_datetime","tccon_solar_time","tccon_latitude","tccon_longitude","date","latitude","longitude"
402.410003662109,0.720000028610229,2015-02-10 04:10:26,12.588666788737,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.559997558594,0.720000028610229,2015-02-10 04:10:40,12.588666788737,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
403.059997558594,0.720000028610229,2015-02-10 04:13:08,12.638666788737,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.75,0.680000007152557,2015-02-10 04:13:19,12.638666788737,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.390014648438,0.680000007152557,2015-02-10 04:15:46,12.6720001220703,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.369995117188,0.680000007152557,2015-02-10 04:16:01,12.688666788737,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.440002441406,0.680000007152557,2015-02-10 04:18:25,12.7220001220703,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.75,0.720000028610229,2015-02-10 04:18:39,12.7220001220703,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.519989013672,0.680000007152557,2015-02-10 04:21:07,12.7720001220703,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.130004882812,0.680000007152557,2015-02-10 04:21:21,12.7720001220703,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
401.619995117188,0.680000007152557,2015-02-10 04:23:49,12.8053334554036,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
401.920013427734,0.680000007152557,2015-02-10 04:24:00,12.8220001220703,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.329986572266,0.680000007152557,2015-02-10 04:26:27,12.8553334554036,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
401.760009765625,0.670000016689301,2015-02-10 04:26:42,12.8553334554036,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.079986572266,0.680000007152557,2015-02-10 04:29:09,12.9053334554036,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
401.920013427734,0.670000016689301,2015-02-10 04:29:23,12.9053334554036,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.25,0.680000007152557,2015-02-10 04:31:48,12.938666788737,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
401.739990234375,0.670000016689301,2015-02-10 04:32:02,12.9553334554036,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.230010986328,0.680000007152557,2015-02-10 04:34:29,12.988666788737,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.260009765625,0.680000007152557,2015-02-10 04:34:44,12.988666788737,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.350006103516,0.680000007152557,2015-02-10 04:37:11,13.038666788737,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.369995117188,0.680000007152557,2015-02-10 04:37:22,13.038666788737,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.269989013672,0.680000007152557,2015-02-10 04:39:50,13.0720001220703,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.209991455078,0.680000007152557,2015-02-10 04:40:04,13.088666788737,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.950012207031,0.680000007152557,2015-02-10 04:42:32,13.1220001220703,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.320007324219,0.680000007152557,2015-02-10 04:42:46,13.1220001220703,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.920013427734,0.680000007152557,2015-02-10 04:45:14,13.1720001220703,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.279998779297,0.680000007152557,2015-02-10 04:45:28,13.1720001220703,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
402.070007324219,0.680000007152557,2015-02-10 04:47:56,13.2053334554036,36.5400009155273,126.330001831055,2015-02-10,36.5,126.5
