"tccon_xco2","tccon_error","tccon_datetime","tccon_solar_time","tccon_latitude","tccon_longitude","date","latitude","longitude"
379.660003662109,0.910000026226044,2008-08-15 07:50:31,8.62800000508626,78.9199981689453,11.9200000762939,2008-08-15,78.5,11.5
377.679992675781,0.899999976158142,2008-08-15 07:50:59,8.62800000508626,78.9199981689453,11.9200000762939,2008-08-15,78.5,11.5
378.519989013672,0.899999976158142,2008-08-15 07:51:46,8.64466667175293,78.9199981689453,11.9200000762939,2008-08-15,78.5,11.5
377.190002441406,0.889999985694885,2008-08-15 07:52:15,8.6613333384196,78.9199981689453,11.9200000762939,2008-08-15,78.5,11.5
377.119995117188,0.899999976158142,2008-08-15 07:53:06,8.67800000508626,78.9199981689453,11.9200000762939,2008-08-15,78.5,11.5
392.579986572266,0.759999990463257,2010-03-27 08:47:02,9.57800000508626,78.9199981689453,11.9200000762939,2010-03-27,78.5,11.5
390.869995117188,0.75,2010-03-27 08:47:49,9.57800000508626,78.9199981689453,11.9200000762939,2010-03-27,78.5,11.5
389.670013427734,0.720000028610229,2010-05-25 07:50:56,8.62800000508626,78.9199981689453,11.9200000762939,2010-05-25,78.5,11.5
390.190002441406,0.730000019073486,2010-05-25 07:51:43,8.64466667175293,78.9199981689453,11.9200000762939,2010-05-25,78.5,11.5
390.790008544922,0.720000028610229,2010-05-25 07:53:20,8.67800000508626,78.9199981689453,11.9200000762939,2010-05-25,78.5,11.5
389.829986572266,0.720000028610229,2010-05-25 07:54:07,8.69466667175293,78.9199981689453,11.9200000762939,2010-05-25,78.5,11.5
390.429992675781,0.730000019073486,2010-05-25 07:55:47,8.7113333384196,78.9199981689453,11.9200000762939,2010-05-25,78.5,11.5
390.119995117188,0.730000019073486,2010-05-25 07:56:38,8.72800000508626,78.9199981689453,11.9200000762939,2010-05-25,78.5,11.5
389.869995117188,0.75,2010-05-25 07:58:15,8.7613333384196,78.9199981689453,11.9200000762939,2010-05-25,78.5,11.5
391.220001220703,0.759999990463257,2010-05-25 07:59:02,8.77800000508626,78.9199981689453,11.9200000762939,2010-05-25,78.5,11.5
382.359985351562,0.879999995231628,2010-08-03 08:07:11,8.9113333384196,78.9199981689453,11.9200000762939,2010-08-03,78.5,11.5
382.959991455078,0.920000016689301,2010-08-03 08:08:02,8.92800000508626,78.9199981689453,11.9200000762939,2010-08-03,78.5,11.5
382.619995117188,0.980000019073486,2010-08-03 08:18:03,9.09466667175293,78.9199981689453,11.9200000762939,2010-08-03,78.5,11.5
383.540008544922,0.980000019073486,2010-08-03 08:18:50,9.09466667175293,78.9199981689453,11.9200000762939,2010-08-03,78.5,11.5
381.720001220703,0.930000007152557,2010-08-03 08:20:27,9.12800000508626,78.9199981689453,11.9200000762939,2010-08-03,78.5,11.5
383.510009765625,0.899999976158142,2010-08-03 08:21:17,9.14466667175293,78.9199981689453,11.9200000762939,2010-08-03,78.5,11.5
380.929992675781,0.879999995231628,2010-08-03 08:22:55,9.1613333384196,78.9199981689453,11.9200000762939,2010-08-03,78.5,11.5
383.359985351562,0.889999985694885,2010-08-03 08:23:45,9.17800000508626,78.9199981689453,11.9200000762939,2010-08-03,78.5,11.5
382.799987792969,0.980000019073486,2010-08-10 08:36:32,9.39466667175293,78.9199981689453,11.9200000762939,2010-08-10,78.5,11.5
381.660003662109,0.980000019073486,2010-08-10 08:37:19,9.4113333384196,78.9199981689453,11.9200000762939,2010-08-10,78.5,11.5
384.059997558594,0.610000014305115,2010-08-23 08:45:50,9.54466667175293,78.9199981689453,11.9200000762939,2010-08-23,78.5,11.5
383.769989013672,0.610000014305115,2010-08-23 08:46:40,9.5613333384196,78.9199981689453,11.9200000762939,2010-08-23,78.5,11.5
384.540008544922,0.620000004768372,2010-08-23 08:46:55,9.5613333384196,78.9199981689453,11.9200000762939,2010-08-23,78.5,11.5
384.679992675781,0.620000004768372,2010-08-23 08:47:42,9.57800000508626,78.9199981689453,11.9200000762939,2010-08-23,78.5,11.5
384.029998779297,0.610000014305115,2010-08-23 08:49:22,9.6113333384196,78.9199981689453,11.9200000762939,2010-08-23,78.5,11.5
387.709991455078,0.730000019073486,2011-06-23 07:50:02,8.62800000508626,78.9199981689453,11.9200000762939,2011-06-23,78.5,11.5
385.549987792969,0.959999978542328,2011-08-17 08:26:45,9.22800000508626,78.9199981689453,11.9200000762939,2011-08-17,78.5,11.5
383.760009765625,0.959999978542328,2011-08-17 08:27:36,9.24466667175293,78.9199981689453,11.9200000762939,2011-08-17,78.5,11.5
384.709991455078,0.959999978542328,2011-08-17 08:27:50,9.24466667175293,78.9199981689453,11.9200000762939,2011-08-17,78.5,11.5
384.619995117188,0.959999978542328,2011-08-17 08:28:37,9.2613333384196,78.9199981689453,11.9200000762939,2011-08-17,78.5,11.5
382.760009765625,0.949999988079071,2011-08-17 08:30:18,9.29466667175293,78.9199981689453,11.9200000762939,2011-08-17,78.5,11.5
383.589996337891,0.949999988079071,2011-08-17 08:31:04,9.3113333384196,78.9199981689453,11.9200000762939,2011-08-17,78.5,11.5
384.619995117188,0.959999978542328,2011-08-17 08:32:42,9.32800000508626,78.9199981689453,11.9200000762939,2011-08-17,78.5,11.5
384.100006103516,0.959999978542328,2011-08-17 08:33:32,9.34466667175293,78.9199981689453,11.9200000762939,2011-08-17,78.5,11.5
385.100006103516,0.949999988079071,2011-08-17 08:35:09,9.37800000508626,78.9199981689453,11.9200000762939,2011-08-17,78.5,11.5
383.540008544922,0.949999988079071,2011-08-17 08:36:00,9.39466667175293,78.9199981689453,11.9200000762939,2011-08-17,78.5,11.5
